gage,gagedFlowline,NHDWaterbodyComID,lakeLink,SiteName,RFC
HEYO2,373089,371555,373089, ,ABRFC
FSLO2,13811232,13811164,13811232, ,ABRFC
MRIT2,19981020,19980072,19981020,Lake Meredith at Canadian River,ABRFC
LKSA3,25138762,22071698,25138762, ,CBRFC
ISAC1,14972947,22670080,0,KERN RIVER AT ISABELLA DAM NEAR LAKE ISABELLA 2N,CNRFC
SCSC1,14931007,14930103,0,TULE RIVER AT SUCCESS DAM NEAR PORTERVILLE 5E,CNRFC
TMDC1,24758173,120052624,24758173,KAWEAH RIVER AT TERMINUS DAM NEAR WOODLAKE,CNRFC
CADC1,17695921,17693805,0,CALERO RESERVOIR,CNRFC
ANDC1,17695819,17693795,17695819, ,CNRFC
PFTC1,22063199,22050039,0,KINGS RIVER AT PINE FLAT DAM NEAR CENTERVILLE 10NE,CNRFC
PCON2,20603436,20603252,0,PINE CANYON DAM NEAR CALIENTE,CBRFC
MVDN2,20603440,20603248,0,MATHEW VALLEY DAM NEAR CALIENTE,CBRFC
FRVC2,17014767,17014523,17015277,Florida River below Lemon Resv.,CBRFC
LPVC2,17034231,17034145,17034971, ,CBRFC
GSPO2,21001215,21000069,21001215, ,ABRFC
KAWO2,21038211,21038107,21038211, ,ABRFC
FLLK1,21517708,21514748,21517708,Fall River Lake above Fall River (KS),ABRFC
HULO2,21785290,21784832,21785290, ,ABRFC
CPLO2,21784744,21783714,21784744, ,ABRFC
ECLK1,20943984,20943110,20943984,Elk City Lake above Elk River (KS),ABRFC
BIGK1,21797549,21795481,21797721, ,ABRFC
CLRM7,7669160,7666880,7669104,Clearwater Lake Pool at Black River,LMRFC
TRLK1,20955434,20953830,20955434, ,ABRFC
CNGK1,20929492,20927390,20929492, ,ABRFC
EDRK1,20082038,20079044,0,Walnut River At El Dorado Lake,ABRFC
MLBK1,20919169,20917521,20919169,Marion Reservoir at Cottonwood River,ABRFC
KANK1,25068602,167266519,25068602, ,MBRFC
CRFC2,3251439,3251185,3252185, ,CBRFC
MPSC2,3254131,3252989,0,MORROW POINT RESERVOIR NEAR MONTROSE,CBRFC
BPRC1,8915961,8914219,8915961, ,CNRFC
TOPN2,10743558,10742110,0,TOPAZ CANAL BELOW TOPAZ LAKE NEAR TOPAZ,CNRFC
HETC1,17082365,17080669,17082207, ,CNRFC
CHVC1,17082185,17080601,17082185, ,CNRFC
NIMC1,15022633,15021939,15024897, ,CNRFC
LBEC1,15032995,130951632,8016105,Lake Berryessa (LBEC1),CNRFC
WSDC1,8276453,8271433,8276453, ,CNRFC
LAMC1,8269153,8306696,8269145,Lake Mendocino,CNRFC
INVC1,8007863,8005383,0,INDIAN VALLEY RESERVOIR NEAR LOWER LAKE,CNRFC
HLEC1,8062551,8060131,8062551,Englebright Lake (HLEC1),CNRFC
DNRC1,8934506,8932994,0,DONNER LAKE NEAR TRUCKEE,CNRFC
TAHC1,8942039,120053784,8942039, ,CNRFC
BCVC1,8933684,8932970,8934482, ,CNRFC
