OBJECTID,ID,Name___Nom,Latitude,Longitude,Prov_Terr,Timezone___Fuseau_horaire,HydroID2,NEAR_FID,NEAR_DIST
136,02FC002,SAUGEEN RIVER NEAR WALKERTON,44.120559999999998,-81.115279999999998,ON,UTC-05:00,41020789,20794,0.000000000003378
137,02FC011,CARRICK CREEK NEAR CARLSRUHE,44.113329999999998,-81.019170000000003,ON,UTC-05:00,41020796,20801,0.000000000525659
138,02FC012,SOUTH SAUGEEN RIVER NEAR HANOVER,44.098610000000001,-80.984440000000006,ON,UTC-05:00,41020868,20873,0.000000000036577
139,02FC015,TEESWATER RIVER NEAR PAISLEY,44.268329999999999,-81.269170000000003,ON,UTC-05:00,41020162,20167,0.000000003755682
140,02FC016,SAUGEEN RIVER ABOVE DURHAM,44.185549999999999,-80.787499999999994,ON,UTC-05:00,41020449,20454,0.000000000819420
141,02FC017,BEATTY SAUGEEN RIVER NEAR HOLSTEIN,44.090470000000003,-80.741940000000000,ON,UTC-05:00,41020951,20956,0.000000000176416
142,02FC020,TEESWATER RIVER AT TEESWATER,44.000610000000002,-81.283810000000003,ON,UTC-05:00,41021215,21220,0.000000000409401
143,02FC021,CAMP CREEK AT ALLAN PARK,44.161140000000003,-80.929310000000001,ON,UTC-05:00,41020573,20578,0.000000001064393
144,02FD001,PINE RIVER AT LURGAN,44.094720000000002,-81.725830000000002,ON,UTC-05:00,41020978,20983,0.000000000263430
145,02FD002,LUCKNOW RIVER AT LUCKNOW,43.962220000000002,-81.515280000000004,ON,UTC-05:00,41021310,21315,0.000000000559264
146,02FD003,NORTH PENETANGORE RIVER AT KINCARDINE,44.172780000000003,-81.630549999999999,ON,UTC-05:00,41020624,20629,0.000000000449207
147,02FE002,MAITLAND RIVER BELOW WINGHAM,43.886670000000002,-81.326390000000004,ON,UTC-05:00,41021430,21435,0.000000000035748
148,02FE003,MIDDLE MAITLAND RIVER NEAR LISTOWEL,43.727220000000003,-80.972780000000000,ON,UTC-05:00,41021676,21681,0.000000000170365
149,02FE005,MAITLAND RIVER ABOVE WINGHAM,43.914999999999999,-81.264439999999993,ON,UTC-05:00,41021419,21424,0.000000000042760
150,02FE007,LITTLE MAITLAND RIVER AT BLUEVALE,43.854439999999997,-81.250559999999993,ON,UTC-05:00,41021503,21508,0.000000000619450
151,02FE008,MIDDLE MAITLAND RIVER NEAR BELGRAVE,43.812779999999997,-81.306950000000001,ON,UTC-05:00,41021564,21569,0.000000000291568
152,02FE009,SOUTH MAITLAND RIVER AT SUMMERHILL,43.684440000000002,-81.541110000000003,ON,UTC-05:00,41021778,21783,0.000000006007463
153,02FE010,BOYLE DRAIN NEAR ATWOOD,43.676389999999998,-81.075000000000003,ON,UTC-05:00,41021756,21761,0.000000000158712
154,02FE011,MAITLAND RIVER NEAR HARRISTON,43.903889999999997,-80.892499999999998,ON,UTC-05:00,41021382,21387,0.000000000626905
155,02FE013,MIDDLE MAITLAND RIVER ABOVE ETHEL,43.718330000000002,-81.124730000000000,ON,UTC-05:00,41021719,21724,0.000000003394665
156,02FE014,BLYTH BROOK BELOW BLYTH,43.760280000000002,-81.463329999999999,ON,UTC-05:00,41021665,21670,0.000000000224897
157,02FE015,MAITLAND RIVER AT BENMILLER,43.717500000000001,-81.626109999999997,ON,UTC-05:00,41021744,21749,0.000000000171079
158,02FE016,SOUTH MAITLAND RIVER AT ROXBORO,43.579250000000002,-81.401309999999995,ON,UTC-05:00,41021931,21936,0.000000004318024
159,02FE017,LAKELET CREEK NEAR GORRIE,43.892919999999997,-81.063280000000006,ON,UTC-05:00,41021399,21404,0.000000001743068
160,02FE018,BLIND CREEK NEAR FORDWICH,43.896000000000001,-81.037999999999997,ON,UTC-05:00,41021401,21406,0.000000002034856
161,02FF002,AUSABLE RIVER NEAR SPRINGBANK,43.071950000000001,-81.659719999999993,ON,UTC-05:00,41022440,22445,0.000000000157897
162,02FF004,SOUTH PARKHILL CREEK NEAR PARKHILL,43.160829999999997,-81.731939999999994,ON,UTC-05:00,41022335,22340,0.000000000079106
163,02FF007,BAYFIELD RIVER NEAR VARNA,43.551389999999998,-81.589449999999999,ON,UTC-05:00,41021971,21976,0.000000000757140
164,02FF008,PARKHILL CREEK ABOVE PARKHILL RESERVOIR,43.164169999999999,-81.631670000000000,ON,UTC-05:00,41022317,22322,0.000000001010805
165,02FF009,AUSABLE RIVER NEAR EXETER,43.361950000000000,-81.509450000000001,ON,UTC-05:00,41022129,22134,0.000000000353928
166,02FF010,AUSABLE RIVER NEAR PARKHILL,43.193330000000003,-81.814449999999994,ON,UTC-05:00,41022292,22297,0.000000000217899
167,02FF011,SILVER CREEK AT SEAFORTH,43.545279999999998,-81.396389999999997,ON,UTC-05:00,41021974,21979,0.000000000444781
168,02FF012,PERCH CREEK AT SARNIA,42.984169999999999,-82.318889999999996,ON,UTC-05:00,41022544,22549,0.000000002588265
169,02FF013,LITTLE AUSABLE RIVER NEAR LUCAN CROSSING,43.180560000000000,-81.447670000000002,ON,UTC-05:00,41022290,22295,0.000000003390763
170,02FF014,BLACK CREEK NEAR HENSALL,43.418920000000000,-81.495469999999997,ON,UTC-05:00,41022089,22094,0.000000000847718
171,02FF015,TRICKS CREEK NEAR CLINTON,43.590310000000002,-81.584109999999995,ON,UTC-05:00,41021929,21934,0.000000000239244
172,02FF016,LITTLE AUSABLE RIVER NEAR CENTRALIA,43.286250000000003,-81.415639999999996,ON,UTC-05:00,41022201,22206,0.000000000578311
173,02GA003,GRAND RIVER AT GALT,43.352780000000003,-80.316950000000006,ON,UTC-05:00,41001759,1764,0.000000000201971
174,02GA005,IRVINE RIVER NEAR SALEM,43.714170000000003,-80.443889999999996,ON,UTC-05:00,41001111,1116,0.000000000170138
175,02GA006,CONESTOGO RIVER AT ST. JACOBS,43.541110000000003,-80.553340000000006,ON,UTC-05:00,41001414,1419,0.000000000547965
176,02GA010,NITH RIVER NEAR CANNING,43.189720000000001,-80.455029999999994,ON,UTC-05:00,41002164,2169,0.000000000039226
177,02GA014,GRAND RIVER NEAR MARSVILLE,43.861719999999998,-80.272220000000004,ON,UTC-05:00,41000941,946,0.000000000448731
178,02GA015,SPEED RIVER BELOW GUELPH,43.533610000000003,-80.252219999999994,ON,UTC-05:00,41001386,1391,0.000000000446077
179,02GA016,GRAND RIVER BELOW SHAND DAM,43.730829999999997,-80.340840000000000,ON,UTC-05:00,41001099,1104,0.000000000153203
180,02GA018,NITH RIVER AT NEW HAMBURG,43.377499999999998,-80.711389999999994,ON,UTC-05:00,41001747,1752,0.000000000105220
181,02GA023,CANAGAGIGUE CREEK NEAR ELMIRA,43.579920000000001,-80.509190000000004,ON,UTC-05:00,41001295,1300,0.000000000653659
182,02GA024,LAUREL CREEK AT WATERLOO,43.468890000000002,-80.518889999999999,ON,UTC-05:00,41001538,1543,0.000000000039836
183,02GA028,CONESTOGO RIVER AT GLEN ALLAN,43.654829999999997,-80.702169999999995,ON,UTC-05:00,41001237,1242,0.000000000383181
184,02GA029,ERAMOSA RIVER ABOVE GUELPH,43.547780000000003,-80.182000000000002,ON,UTC-05:00,41001345,1350,0.000000001820438
185,02GA030,ALDER CREEK NEAR NEW DUNDEE,43.371940000000002,-80.551670000000001,ON,UTC-05:00,41001717,1722,0.000000000372488
186,02GA031,BLUE SPRINGS CREEK NEAR EDEN MILLS,43.576140000000002,-80.108999999999995,ON,UTC-05:00,41001287,1292,0.000000000268859
187,02GA034,GRAND RIVER AT WEST MONTROSE,43.585000000000001,-80.481390000000005,ON,UTC-05:00,41001297,1302,0.000000000061285
188,02GA038,NITH RIVER ABOVE NITHBURG,43.483890000000002,-80.834999999999994,ON,UTC-05:00,41001562,1567,0.000000000215467
189,02GA039,CONESTOGO RIVER ABOVE DRAYTON,43.783529999999999,-80.637780000000006,ON,UTC-05:00,41001028,1033,0.000000000155700
190,02GA040,SPEED RIVER NEAR ARMSTRONG MILLS,43.638610000000000,-80.269999999999996,ON,UTC-05:00,41001222,1227,0.000000000314620
191,02GA041,GRAND RIVER NEAR DUNDALK,44.140079999999998,-80.363110000000006,ON,UTC-05:00,41000757,762,0.000000000477638
192,02GA042,MOOREFIELD CREEK NEAR ROTHSAY,43.823000000000000,-80.717860000000002,ON,UTC-05:00,41001003,1008,0.000000000488560
193,02GA043,HUNSBURGER CREEK NEAR WILMOT CENTRE,43.364440000000002,-80.632499999999993,ON,UTC-05:00,41001809,1814,0.000000000101925
