Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m,rainrate
415,2015-10-18 07:00:00,0,0.149426,0.27932,0
416,2015-10-18 08:00:00,0,0.149426,0.279285,0
417,2015-10-18 09:00:00,0,0.149427,0.279252,0
418,2015-10-18 10:00:00,0,0.149427,0.27922,0
419,2015-10-18 11:00:00,0,0.149428,0.279189,0
420,2015-10-18 12:00:00,0,0.149428,0.279158,0
421,2015-10-18 13:00:00,0,0.149428,0.279111,0
422,2015-10-18 14:00:00,0,0.149429,0.279044,0
423,2015-10-18 15:00:00,0,0.14943,0.278953,0
424,2015-10-18 16:00:00,0,0.149432,0.278842,0
425,2015-10-18 17:00:00,0,0.149433,0.278717,0
426,2015-10-18 18:00:00,0,0.149435,0.278586,0
427,2015-10-18 19:00:00,0,0.149436,0.278458,0
428,2015-10-18 20:00:00,0,0.149438,0.278338,0
429,2015-10-18 21:00:00,0,0.149439,0.278238,0
430,2015-10-18 22:00:00,0,0.14944,0.278153,0
431,2015-10-18 23:00:00,0,0.149441,0.278079,0
432,2015-10-19 00:00:00,0,0.149442,0.278013,0
433,2015-10-19 01:00:00,0,0.149442,0.277955,0
434,2015-10-19 02:00:00,0,0.149443,0.277903,0
435,2015-10-19 03:00:00,0,0.149443,0.277853,0
436,2015-10-19 04:00:00,0,0.149444,0.277811,0
437,2015-10-19 05:00:00,0,0.149444,0.27777,0
438,2015-10-19 06:00:00,0,0.149445,0.277733,0
439,2015-10-19 07:00:00,0,0.149445,0.277699,0
440,2015-10-19 08:00:00,0,0.149445,0.277699,0
441,2015-10-19 09:00:00,0,0.149445,0.277699,0
442,2015-10-19 10:00:00,0,0.149445,0.277699,0
443,2015-10-19 11:00:00,0,0.149445,0.277699,0
444,2015-10-19 12:00:00,0,0.149445,0.277699,0
445,2015-10-19 13:00:00,0,0.149445,0.277699,0
446,2015-10-19 14:00:00,0,0.149445,0.277699,0
447,2015-10-19 15:00:00,0,0.149445,0.277698,0
448,2015-10-19 16:00:00,0,0.149445,0.277697,0
449,2015-10-19 17:00:00,0,0.149447,0.277594,0
450,2015-10-19 18:00:00,0,0.149448,0.277479,0
451,2015-10-19 19:00:00,0,0.149449,0.277368,0
452,2015-10-19 20:00:00,0,0.14945,0.277276,0
453,2015-10-19 21:00:00,0,0.149451,0.277204,0
454,2015-10-19 22:00:00,0,0.149452,0.277148,0
455,2015-10-19 23:00:00,0,0.149452,0.277102,0
456,2015-10-20 00:00:00,0,0.149453,0.277065,0
457,2015-10-20 01:00:00,0,0.149453,0.277037,0
458,2015-10-20 02:00:00,0,0.149453,0.277008,0
459,2015-10-20 03:00:00,0,0.149454,0.276978,0
460,2015-10-20 04:00:00,0,0.149454,0.276946,0
461,2015-10-20 05:00:00,0,0.149454,0.276916,0
462,2015-10-20 06:00:00,0,0.149455,0.276887,0
463,2015-10-20 07:00:00,0,0.149455,0.276861,0
464,2015-10-20 08:00:00,0,0.149455,0.276837,0
465,2015-10-20 09:00:00,0,0.149456,0.276816,0
466,2015-10-20 10:00:00,0,0.149456,0.276798,0
467,2015-10-20 11:00:00,0,0.149456,0.276782,0
468,2015-10-20 12:00:00,0,0.149456,0.276766,0
469,2015-10-20 13:00:00,0,0.149457,0.276735,0
470,2015-10-20 14:00:00,0,0.149457,0.27668,0
471,2015-10-20 15:00:00,0,0.149458,0.2766,0
