Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m,sm_profile_0.4m,sm_profile_1m,sm_profile_2m,rainmelt
112,2020-01-05 16:00:00,0.000000000,0.194677802,0.209790421,0.212050869,0.216971464,0.226667077,0.000000000
113,2020-01-05 17:00:00,0.000000000,0.194685389,0.209725204,0.211982027,0.216894174,0.226570709,0.000000000
114,2020-01-05 18:00:00,0.000000000,0.194694032,0.209650803,0.211903497,0.216806020,0.226460839,0.000000000
115,2020-01-05 19:00:00,0.000000000,0.194703294,0.209570961,0.211819231,0.216711446,0.226343015,0.000000000
116,2020-01-05 20:00:00,0.000000000,0.194713241,0.209485066,0.211728585,0.216609732,0.226216351,0.000000000
117,2020-01-05 21:00:00,0.000000000,0.194717912,0.209444681,0.211685968,0.216561919,0.226156829,0.000000000
118,2020-01-05 22:00:00,0.000000000,0.194722088,0.209408543,0.211647836,0.216519141,0.226103587,0.000000000
119,2020-01-05 23:00:00,0.000000000,0.194726074,0.209374032,0.211611421,0.216478293,0.226052756,0.000000000
120,2020-01-06 00:00:00,0.000000000,0.194729468,0.209344623,0.211580391,0.216443488,0.226009453,0.000000000
121,2020-01-06 01:00:00,0.000000000,0.194732467,0.209318630,0.211552966,0.216412729,0.225971189,0.000000000
122,2020-01-06 02:00:00,0.000000000,0.194735375,0.209293409,0.211526355,0.216382886,0.225934068,0.000000000
123,2020-01-06 03:00:00,0.000000000,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.000000000
124,2020-01-06 04:00:00,0.000000000,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.000000000
125,2020-01-06 05:00:00,0.000000000,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.000000000
126,2020-01-06 06:00:00,0.000000000,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.000000000
127,2020-01-06 07:00:00,0.000000000,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.000000000
128,2020-01-06 08:00:00,0.000000000,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.000000000
129,2020-01-06 09:00:00,0.000000000,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.000000000
130,2020-01-06 10:00:00,0.000000000,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.000000000
131,2020-01-06 11:00:00,0.000000000,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.000000000
132,2020-01-06 12:00:00,0.000000000,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.000000000
133,2020-01-06 13:00:00,0.000000000,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.000000000
134,2020-01-06 14:00:00,0.000000000,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.000000000
135,2020-01-06 15:00:00,0.103559628,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.000000000
136,2020-01-06 16:00:00,0.240878552,0.194737633,0.209273816,0.211505684,0.216359704,0.225905238,0.103559631
137,2020-01-06 17:00:00,0.264066726,0.194732666,0.209316901,0.211551141,0.216410683,0.225968643,0.240878575
138,2020-01-06 18:00:00,0.048868168,0.194721153,0.209416636,0.211656375,0.216528720,0.226115508,0.264066733
139,2020-01-06 19:00:00,0.058534034,0.194711452,0.209500527,0.211744900,0.216628038,0.226239142,0.048868170
140,2020-01-06 20:00:00,0.053081498,0.194714986,0.209469978,0.211712663,0.216591868,0.226194111,0.058534035
141,2020-01-06 21:00:00,0.009253055,0.194713461,0.209483166,0.211726580,0.216607482,0.226213549,0.053081498
142,2020-01-06 22:00:00,0.010809565,0.194712320,0.209493025,0.211736984,0.216619156,0.226228083,0.009253055
143,2020-01-06 23:00:00,0.008003731,0.194713363,0.209484009,0.211727469,0.216608480,0.226214792,0.010809565
144,2020-01-07 00:00:00,0.007078141,0.194714623,0.209473122,0.211715980,0.216595590,0.226198744,0.008003731
145,2020-01-07 01:00:00,0.008290057,0.194715973,0.209461450,0.211703663,0.216581771,0.226181541,0.007078141
146,2020-01-07 02:00:00,0.005068779,0.194717538,0.209447914,0.211689380,0.216565746,0.226161593,0.008290057
147,2020-01-07 03:00:00,0.003653089,0.194718909,0.209436058,0.211676869,0.216551711,0.226144123,0.005068779
148,2020-01-07 04:00:00,0.005144344,0.194720229,0.209424633,0.211664814,0.216538187,0.226127290,0.003653089
149,2020-01-07 05:00:00,0.005329041,0.194720053,0.209426157,0.211666422,0.216539991,0.226129536,0.005144344
150,2020-01-07 06:00:00,0.005382026,0.194719805,0.209428303,0.211668686,0.216542531,0.226132698,0.005329042
151,2020-01-07 07:00:00,0.004283550,0.194719548,0.209430526,0.211671032,0.216545163,0.226135973,0.005382026
152,2020-01-07 08:00:00,0.004816253,0.194719288,0.209432772,0.211673401,0.216547821,0.226139281,0.004283550
153,2020-01-07 09:00:00,0.000649811,0.194719082,0.209434559,0.211675287,0.216549936,0.226141914,0.004816253
154,2020-01-07 10:00:00,0.002340119,0.194718850,0.209436568,0.211677407,0.216552314,0.226144875,0.000000000
155,2020-01-07 11:00:00,0.001314693,0.194718850,0.209436568,0.211677407,0.216552314,0.226144875,0.000000000
156,2020-01-07 12:00:00,0.000557477,0.194718850,0.209436568,0.211677407,0.216552314,0.226144875,0.001314693
